Date,Price,Sales
2021-01-25,1338.73,5566314.6
2021-01-26,1335.965,3174797.95
2021-01-27,1256.49,4198356.86
2021-01-28,1330.9099999999999,3667812.63
2021-01-29,1366.72,1988523.57
2021-01-30,1366.25,2724529.16
2021-01-31,1300.8449999999998,2888057.2
2021-02-01,1385.845,4988608.22
2021-02-02,1535.2849999999999,7416815.19
2021-02-03,1664.68,4400832.66
2021-02-04,1620.445,4145866.35
2021-02-05,1697.22,3322576.43
2021-02-06,1640.27,5401007.51
2021-02-07,1597.8400000000001,3587324.67
2021-02-08,1738.64,3793674.85
2021-02-09,1792.025,3598154.83
2021-02-10,1725.645,3309326.22
2021-02-11,1773.9499999999998,2239329.76
2021-02-12,1856.04,3484886.67
2021-02-13,1823.115,5989228.67
2021-02-14,1736.365,8448037.72
2021-02-15,1786.56,7238901.27
2021-02-16,1759.935,1.275211321E7
2021-02-17,1882.675,1.195816362E7
2021-02-18,1921.98,1.679327537E7
2021-02-19,1982.48,2.731013394E7
2021-02-20,1920.26,2.161692287E7
2021-02-21,1886.13,4.562288563E7
2021-02-22,1695.53,5.554876394E7
2021-02-23,1578.9,2.450435507E7
2021-02-24,1622.075,1.851351728E7
2021-02-25,1487.905,1.072379429E7
2021-02-26,1477.835,1.242538278E7
2021-02-27,1417.5349999999999,1.832227165E7
2021-02-28,1433.46,1.696531559E7
2021-03-01,1558.6750000000002,1.396430225E7
2021-03-02,1512.3600000000001,1.420889029E7
2021-03-03,1579.815,1.634445031E7
2021-03-04,1494.055,9896854.72
2021-03-05,1534.83,1.258980278E7
2021-03-06,1662.37,1.088014291E7
2021-03-07,1731.295,4228398.52
2021-03-08,1833.9299999999998,6327820.1
2021-03-09,1817.74,1.823440321E7
2021-03-10,1790.375,2.417997029E7
2021-03-11,1819.1100000000001,2.610185958E7
2021-03-12,1748.88,1.524977523E7
2021-03-13,1911.205,1.508317751E7
2021-03-14,1867.0,1.326179909E7
2021-03-15,1759.5149999999999,1.129904802E7
2021-03-16,1787.79,1.432584634E7
2021-03-17,1831.085,1.189181807E7
2021-03-18,1792.15,1.256384555E7
2021-03-19,1818.455,1.471284443E7
2021-03-20,1796.135,1.21812211E7
2021-03-21,1770.105,1.408969988E7
2021-03-22,1690.645,1.00374222E7
2021-03-23,1668.5549999999998,1.121861249E7
2021-03-24,1573.6,1.409561809E7
2021-03-25,1607.32,1.093997638E7
2021-03-26,1702.3400000000001,8707769.16
2021-03-27,1708.69,7626850.87
2021-03-28,1689.6750000000002,7321951.97
2021-03-29,1807.88,8949221.32
2021-03-30,1839.4699999999998,1.094929133E7
2021-03-31,1929.085,6323375.24
2021-04-01,1980.145,7070923.04
2021-04-02,2110.855,5428405.19
2021-04-03,2002.925,6247997.68
2021-04-04,2057.59,6509295.75
2021-04-05,2129.795,8306690.51
2021-04-06,2105.16,6188122.67
2021-04-07,1973.0749999999998,3334377.42
2021-04-08,2083.87,1.660709925E7
2021-04-09,2101.775,7978038.27
2021-04-10,2140.385,1.372355721E7
2021-04-11,2146.68,2.020309639E7
2021-04-12,2155.765,1.264391372E7
2021-04-13,2315.74,1.281397802E7
2021-04-14,2439.365,9516386.69
2021-04-15,2511.73,1.024263781E7
2021-04-16,2456.245,7998008.81
2021-04-17,2143.73,7748604.79
2021-04-18,2238.355,6898255.47
2021-04-19,2120.73,7993390.08
2021-04-20,2321.235,7381754.56
2021-04-21,2384.26,7425238.5
2021-04-22,2291.08,8908462.8
2021-04-23,2298.54,8213623.03
2021-04-24,2219.9350000000004,6045740.95
2021-04-25,2386.845,5128411.25
2021-04-26,2515.535,6460421.84
2021-04-27,2672.395,1.139715925E7
2021-04-28,2719.735,6147114.24
2021-04-29,2747.7650000000003,9133622.72
2021-04-30,2800.205,7987440.31
2021-05-01,2932.635,1.14346975E7
2021-05-02,3004.0299999999997,1.154883513E7
2021-05-03,3317.705,1.134048917E8
2021-05-04,3313.44,3.167093518E7
2021-05-05,3489.7349999999997,1.515424553E7
2021-05-06,3465.9750000000004,1.058175772E7
2021-05-07,3501.5299999999997,1.141651688E7
2021-05-08,3883.69,1.517822142E7
2021-05-09,3978.175,1.336797017E7
2021-05-10,3903.485,1.085525769E7
2021-05-11,4239.575000000001,1.793631872E7
2021-05-12,3785.975,2.29226851E7
2021-05-13,3794.0550000000003,1.705733076E7
2021-05-14,4071.515,1.271165504E7
2021-05-15,3739.075,9717635.0
2021-05-16,3408.6949999999997,9175158.92
2021-05-17,3329.965,6705074.84
2021-05-18,3249.925,7809760.0
2021-05-19,2351.38,5074746.19
2021-05-20,2848.84,6341310.84
2021-05-21,2396.465,6334338.2
2021-05-22,2318.59,9724619.27
2021-05-23,2138.73,5419437.48
2021-05-24,2644.27,7274775.97
2021-05-25,2743.91,6684045.05
2021-05-26,2761.8199999999997,6016387.2
2021-05-27,2717.16,8834424.19
2021-05-28,2472.825,7531867.4
2021-05-29,2244.73,6381595.41
2021-05-30,2346.185,7301484.24
2021-05-31,2677.43,6958281.15
2021-06-01,2601.16,9289126.17
2021-06-02,2694.965,7215261.95
2021-06-03,2769.96,7235102.25
2021-06-04,2729.81,7975133.93
2021-06-05,2653.185,7979905.82
2021-06-06,2745.63,8623970.06
2021-06-07,2526.92,1.010124421E7
2021-06-08,2467.7,8791754.57
2021-06-09,2596.9049999999997,7275943.64
2021-06-10,2450.005,9748613.01
2021-06-11,2312.285,1.176453714E7
2021-06-12,2369.6549999999997,8827933.23
2021-06-13,2496.3050000000003,8010590.3
2021-06-14,2595.0950000000003,9306993.52
2021-06-15,2523.14,1.090605564E7
2021-06-16,2399.6000000000004,9947545.05
2021-06-17,2344.51,1.04574151E7
2021-06-18,2213.9,1.249609475E7
2021-06-19,2169.41,1.252336608E7
2021-06-20,2208.42,1.770102846E7
2021-06-21,1929.42,1.572965625E7
2021-06-22,1927.315,1.06889791E7
2021-06-23,1931.0,9880009.37
2021-06-24,1990.77,1.097397713E7
2021-06-25,1817.31,1.65033116E7
2021-06-26,1850.845,1.335594922E7
2021-06-27,1978.685,1.422857832E7
2021-06-28,2107.8450000000003,1.46601554E7
2021-06-29,2154.88,1.57977874E7
2021-06-30,2229.4700000000003,1.690256432E7
2021-07-01,2090.5699999999997,1.485249153E7
2021-07-02,2140.05,1.906063593E7
2021-07-03,2176.385,1.94511531E7
2021-07-04,2285.045,2.399452534E7
2021-07-05,2221.175,2.378483227E7
2021-07-06,2318.84,2.608678696E7
2021-07-07,2281.205,3.196750014E7
2021-07-08,2100.34,2.874551777E7
2021-07-09,2158.2250000000004,3.60969713E7
2021-07-10,2112.575,3.421280262E7
2021-07-11,2146.98,3.313506533E7
2021-07-12,2028.8249999999998,4.154616852E7
2021-07-13,1906.42,3.325159797E7
2021-07-14,2007.3200000000002,4.889296601E7
